,open,high,low,close,volume,SMA_20
2024-08-23,0.9860182370820665,0.9836561743341408,0.9641881638846739,0.9661378889566805,0.044702549992855306,
2024-08-22,1.0,1.0,1.0,0.9618669920683347,0.021287773197030957,
2024-08-21,0.961094224924012,0.9821428571428585,0.9558421851289838,1.0,0.06180082097369838,
2024-08-20,0.9191489361702132,0.948244552058112,0.9447647951441587,0.9640024405125072,0.009388231700564562,
2024-08-19,0.8963525835866264,0.9275121065375309,0.9437025796661613,0.9243441122635749,0.047321080221277984,
2024-08-16,0.888449848024317,0.8919491525423737,0.9177541729893788,0.8953630262355095,0.056162713583068374,
2024-08-15,0.8863221884498484,0.8889225181598066,0.9305007587253415,0.9005491153142158,0.05466886856070388,
2024-08-14,0.8145896656534957,0.8538135593220346,0.8531107738998482,0.8508236729713232,0.01634646575479698,
2024-08-13,0.7884498480243165,0.799939467312349,0.8069802731411233,0.8102501525320323,0.0351962695261262,
2024-08-12,0.8176291793313073,0.8079933414043587,0.8006100151745077,0.7641854789505791,0.042607300648550755,
2024-08-09,0.8155015197568396,0.839891041162228,0.8018209408194235,0.8242830994508843,0.07471264558711191,
2024-08-08,0.7036474164133741,0.8474576271186445,0.7399089529590288,0.8596705308114707,0.13709128770211532,
2024-08-07,0.7212765957446816,0.7563559322033901,0.7308042488619124,0.682428309945089,0.14301990001927176,
2024-08-06,0.6185410334346502,0.7269975786924947,0.6379362670713205,0.682428309945089,0.1317647440218464,
2024-08-05,0.613981762917934,0.6166767554479424,0.5823975720789081,0.5759609517998783,0.22094802924659843,
2024-08-02,0.7425531914893622,0.7378934624697342,0.7004552352048563,0.75320317266626,0.1926363876785255,
2024-08-01,0.8650455927051679,0.8703087167070223,0.7790591805766311,0.7696766320927395,0.16184738280836622,
2024-07-31,0.8100303951367787,0.897999394673124,0.8306525037936279,0.8453325198291637,0.25970436257618945,
2024-07-30,0.8246200607902736,0.8441283292978214,0.8033383915022769,0.8117754728492983,0.09406227992491381,
2024-07-29,0.8762917933130705,0.8598668280871671,0.8060698027314119,0.8258084197681512,0.11212022027886481,0.833404514948139
2024-07-26,0.7951367781155012,0.8683414043583539,0.8194840667678314,0.8334350213544841,0.17576617601914715,0.8267693715680291
2024-07-25,0.6823708206686936,0.9497578692493951,0.6883156297420339,0.8404514948139106,0.5237294960021859,0.8206985967053081
2024-07-24,0.6015197568389059,0.6111198547215508,0.6229135053110779,0.5976205003050641,0.352951993081027,0.8005796217205614
2024-07-23,0.6082066869300915,0.6204600484261507,0.6188163884673745,0.6000610128126906,0.0352868156534657,0.7823825503355704
2024-07-22,0.5790273556231007,0.6080508474576272,0.6142640364188168,0.6015863331299576,0.05576764548381094,0.7662446613788896
2024-07-19,0.6680851063829794,0.6694915254237293,0.5866464339908957,0.5741305674191581,0.14395638480071313,0.7501830384380719
2024-07-18,0.6775075987841941,0.7442493946731243,0.6822458270106226,0.6342281879194633,0.12215150884857545,0.7368669920683344
2024-07-17,0.6410334346504563,0.6979418886198552,0.6813353566009104,0.7022574740695537,0.17114433763514905,0.7294386821232458
2024-07-16,0.6176291793313071,0.6573849878934626,0.6646433990895302,0.6522269676632089,0.1146260162607027,0.7215375228798047
2024-07-15,0.5784194528875384,0.6059322033898313,0.6063732928679819,0.562843197071385,0.08481607876011726,0.7114704087858449
2024-07-12,0.43191489361702207,0.5835351089588379,0.4819423368740523,0.5613178767541189,0.20836344617630612,0.6983221476510068
2024-07-11,0.40425531914893664,0.4406779661016955,0.42488619119878646,0.4234289200732153,0.07693404833994005,0.6765100671140939
2024-07-10,0.37234042553191493,0.40375302663438273,0.3590288315629744,0.40909090909090917,0.12044913536420171,0.662843197071385
2024-07-09,0.4027355623100304,0.3880145278450362,0.3933232169954479,0.3676021964612568,0.05741381792362915,0.6471018913971933
